,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
371357,Transport Grayson Inc.,2018,Part-Time,Provincial,Québec,Overall,8,7,1,0,0,0
371391,Transport Guilbault Inc.,2018,Full-Time,Provincial,Québec,Overall,317,308,9,1,1,24
371470,Transport Guy Bourassa Inc.,2018,Full-Time,Provincial,Québec,Overall,390,320,70,4,16,20
371589,Transport Guy Bourassa Inc.,2018,Part-Time,Provincial,Québec,Overall,58,45,13,0,6,4
371672,Transport Hervé Lemieux (1975) Inc.,2018,Full-Time,Provincial,Québec,Overall,349,316,33,3,28,36
371767,Transport Hervé Lemieux (1975) Inc.,2018,Part-Time,Provincial,Québec,Overall,45,42,3,0,3,4
371830,Transport Inter-Nord Inc.,2018,Full-Time,Provincial,Québec,Overall,143,124,19,0,2,1
371925,Transport Inter-Nord Inc.,2018,Part-Time,Provincial,Québec,Overall,9,6,3,0,0,0
371988,Transport Jacques Auger Inc.,2018,Full-Time,Provincial,Québec,Overall,161,146,15,0,0,3
372018,Transport Jacques Auger Inc.,2018,Part-Time,Provincial,Québec,Overall,14,13,1,0,0,1
372036,Transport Jocelyn Bourdeau Inc.,2018,Full-Time,Provincial,Québec,Overall,103,92,11,1,2,4
372063,Transport Jocelyn Bourdeau Inc.,2018,Part-Time,Provincial,Québec,Overall,25,22,3,0,0,0
372122,Transport Laurentien Ltd.,2018,Full-Time,Provincial,Québec,Overall,108,95,13,0,0,0
372221,Transport Laurentien Ltd.,2018,Part-Time,Provincial,Québec,Overall,10,9,1,0,0,0
372284,Transport Lyon Inc.,2018,Full-Time,Provincial,Québec,Overall,115,106,9,0,0,7
372347,Transport Lyon Inc.,2018,Part-Time,Provincial,Québec,Overall,6,6,0,0,0,0
372398,Transport Sylvester & Forget Inc.,2018,Full-Time,Provincial,Québec,Overall,92,77,15,0,1,0
372493,Transport Sylvester & Forget Inc.,2018,Part-Time,Provincial,Québec,Overall,9,7,2,0,0,0
372552,"Transport TFI 1, SEC",2018,Full-Time,Provincial,Québec,Overall,166,145,21,6,3,3
372594,"Transport TFI 1, SEC",2018,Part-Time,Provincial,Québec,Overall,8,8,0,1,0,0
372632,Transport TFI 16 SEC,2018,Full-Time,Provincial,Québec,Overall,118,108,10,0,0,3
372666,Transport TFI 16 SEC,2018,Part-Time,Provincial,Québec,Overall,1,0,1,0,0,0
372746,"Transport TFI 22, S.E.C.",2018,Full-Time,Provincial,Ontario,Overall,162,75,87,6,9,67
372779,"Transport TFI 22, S.E.C.",2018,Full-Time,Provincial,British Columbia,Overall,95,81,14,3,5,21
372796,"Transport TFI 22, S.E.C.",2018,Full-Time,Provincial,Alberta,Overall,145,121,24,10,6,47
372909,"Transport TFI 22, S.E.C.",2018,Part-Time,Provincial,Ontario,Overall,90,77,13,6,5,37
372922,"Transport TFI 22, S.E.C.",2018,Part-Time,Provincial,British Columbia,Overall,88,74,14,6,4,17
372927,"Transport TFI 22, S.E.C.",2018,Part-Time,Provincial,Alberta,Overall,73,60,13,4,3,20
372993,Transport TFI 4 SEC,2018,Full-Time,Provincial,Québec,Overall,103,101,2,0,0,0
373020,Transport TFI 4 SEC,2018,Part-Time,Provincial,Québec,Overall,9,9,0,0,0,0
373075,Transport TFI 6 S.E.C. (Transport Besner),2018,Full-Time,Provincial,Québec,Overall,90,75,15,0,2,3
373121,Transport TFI 6 S.E.C. (Transport Besner),2018,Part-Time,Provincial,Québec,Overall,4,3,1,0,0,0
373147,Transport Transbo Inc.,2018,Full-Time,Provincial,Québec,Overall,138,137,1,1,1,1
